编号         工序1        工序2        工序3        工序4        工序5        工序6        工序7       
晶圆1        LP_start   AL         BS2        PM4        PM6        BS1        LP_end    
晶圆2        LP_start   AL         BS2        PM4        PM5        BS1        LP_end    
晶圆3        LP_start   AL         AS2        PM3        PM1        AS1        LP_end    
晶圆4        LP_start   AL         AS2        PM3        PM2        BS1        LP_end    
晶圆5        LP_start   AL         BS2        PM4        PM5        AS1        LP_end    
晶圆6        LP_start   AL         BS2        PM4        PM5        BS1        LP_end    
晶圆7        LP_start   AL         AS2        PM3        PM2        AS1        LP_end    
晶圆8        LP_start   AL         BS2        PM4        PM6        BS1        LP_end    
晶圆9        LP_start   AL         AS2        PM3        PM1        AS1        LP_end    
晶圆10       LP_start   AL         BS2        PM4        PM5        BS1        LP_end    
晶圆11       LP_start   AL         BS2        PM4        PM5        BS1        LP_end    
晶圆12       LP_start   AL         AS2        PM3        PM2        AS1        LP_end    
晶圆13       LP_start   AL         AS2        PM3        PM2        AS1        LP_end    
晶圆14       LP_start   AL         AS2        PM3        PM1        BS1        LP_end    
晶圆15       LP_start   AL         BS2        PM4        PM6        AS1        LP_end    
晶圆16       LP_start   AL         AS2        PM3        PM1        BS1        LP_end    
晶圆17       LP_start   AL         BS2        PM4        PM5        AS1        LP_end    
晶圆18       LP_start   AL         AS2        PM3        PM2        AS1        LP_end    
晶圆19       LP_start   AL         AS2        PM3        PM1        BS1        LP_end    
晶圆20       LP_start   AL         BS2        PM4        PM5        AS1        LP_end    
晶圆21       LP_start   AL         AS2        PM3        PM1        BS1        LP_end    
晶圆22       LP_start   AL         BS2        PM4        PM6        AS1        LP_end    
晶圆23       LP_start   AL         BS2        PM4        PM5        AS1        LP_end    
晶圆24       LP_start   AL         BS2        PM4        PM2        BS1        LP_end    
晶圆25       LP_start   AL         AS2        PM3        PM1        AS1        LP_end    
晶圆26       LP_start   AL         AS2        PM4        PM6        AS1        LP_end    
晶圆27       LP_start   AL         AS2        PM3        PM2        BS1        LP_end    
晶圆28       LP_start   AL         AS2        PM3        PM1        BS1        LP_end    
晶圆29       LP_start   AL         BS2        PM4        PM5        AS1        LP_end    
晶圆30       LP_start   AL         AS2        PM3        PM2        AS1        LP_end    
晶圆31       LP_start   AL         BS2        PM4        PM6        BS1        LP_end    
晶圆32       LP_start   AL         AS2        PM3        PM6        AS1        LP_end    
晶圆33       LP_start   AL         AS2        PM3        PM2        AS1        LP_end    
晶圆34       LP_start   AL         BS2        PM4        PM5        BS1        LP_end    
晶圆35       LP_start   AL         BS2        PM4        PM6        BS1        LP_end    
晶圆36       LP_start   AL         BS2        PM4        PM6        BS1        LP_end    
晶圆37       LP_start   AL         AS2        PM3        PM1        AS1        LP_end    
晶圆38       LP_start   AL         BS2        PM4        PM5        AS1        LP_end    
晶圆39       LP_start   AL         AS2        PM3        PM1        BS1        LP_end    
晶圆40       LP_start   AL         AS2        PM3        PM1        BS1        LP_end    
晶圆41       LP_start   AL         BS2        PM4        PM6        AS1        LP_end    
晶圆42       LP_start   AL         AS2        PM3        PM2        AS1        LP_end    
晶圆43       LP_start   AL         AS2        PM3        PM2        AS1        LP_end    
晶圆44       LP_start   AL         BS2        PM4        PM5        BS1        LP_end    
晶圆45       LP_start   AL         BS2        PM4        PM6        BS1        LP_end    
晶圆46       LP_start   AL         BS2        PM4        PM5        AS1        LP_end    
晶圆47       LP_start   AL         AS2        PM3        PM1        BS1        LP_end    
晶圆48       LP_start   AL         AS2        PM3        PM2        AS1        LP_end    
晶圆49       LP_start   AL         BS2        PM4        PM5        BS1        LP_end    
晶圆50       LP_start   AL         AS2        PM3        PM2        BS1        LP_end    
晶圆51       LP_start   AL         BS2        PM4        PM6        AS1        LP_end    
晶圆52       LP_start   AL         BS2        PM4        PM6        BS1        LP_end    
晶圆53       LP_start   AL         AS2        PM3        PM2        AS1        LP_end    
晶圆54       LP_start   AL         AS2        PM3        PM1        BS1        LP_end    
晶圆55       LP_start   AL         BS2        PM4        PM5        AS1        LP_end    
晶圆56       LP_start   AL         AS2        PM3        PM2        BS1        LP_end    
晶圆57       LP_start   AL         BS2        PM4        PM6        AS1        LP_end    
晶圆58       LP_start   AL         AS2        PM3        PM1        AS1        LP_end    
晶圆59       LP_start   AL         AS2        PM3        PM1        AS1        LP_end    
晶圆60       LP_start   AL         AS2        PM3        PM2        AS1        LP_end    
晶圆61       LP_start   AL         BS2        PM4        PM5        BS1        LP_end    
晶圆62       LP_start   AL         BS2        PM4        PM6        BS1        LP_end    
晶圆63       LP_start   AL         BS2        PM4        PM6        BS1        LP_end    
晶圆64       LP_start   AL         AS2        PM3        PM2        AS1        LP_end    
晶圆65       LP_start   AL         BS2        PM3        PM2        AS1        LP_end    
晶圆66       LP_start   AL         BS2        PM4        PM6        BS1        LP_end    
晶圆67       LP_start   AL         BS2        PM4        PM6        BS1        LP_end    
晶圆68       LP_start   AL         AS2        PM3        PM1        AS1        LP_end    
晶圆69       LP_start   AL         BS2        PM4        PM5        BS1        LP_end    
晶圆70       LP_start   AL         AS2        PM3        PM1        BS1        LP_end    
晶圆71       LP_start   AL         BS2        PM4        PM5        AS1        LP_end    
晶圆72       LP_start   AL         AS2        PM3        PM1        AS1        LP_end    
晶圆73       LP_start   AL         AS2        PM3        PM1        AS1        LP_end    
晶圆74       LP_start   AL         BS2        PM4        PM6        BS1        LP_end    
晶圆75       LP_start   AL         BS2        PM4        PM5        BS1        LP_end    
