  LP_start         AL        AS2        BS2        PM3        PM4        PM1        PM2        PM5        PM6        AS1        BS1     LP_end
   [40, 1]    [40, 2]          .          .          .          .          .          .          .          .          .          .    [40, 7]
   [41, 1]    [41, 2]          .          .          .          .          .          .          .          .          .          .    [41, 7]
   [42, 1]    [42, 2]          .          .          .          .          .          .          .          .          .          .    [42, 7]
   [43, 1]    [43, 2]          .          .          .          .          .          .          .          .          .          .    [43, 7]
   [44, 1]    [44, 2]          .          .          .          .          .          .          .          .          .          .    [44, 7]
   [45, 1]    [45, 2]          .          .          .          .          .          .          .          .          .          .    [45, 7]
   [46, 1]    [46, 2]          .          .          .          .          .          .          .          .          .          .    [46, 7]
   [47, 1]    [47, 2]          .          .          .          .          .          .          .          .          .          .    [47, 7]
   [48, 1]    [48, 2]          .          .          .          .          .          .          .          .          .          .    [48, 7]
   [49, 1]    [49, 2]          .          .          .          .          .          .          .          .          .          .    [49, 7]
   [50, 1]    [50, 2]          .          .          .          .          .          .          .          .          .          .    [50, 7]
   [51, 1]    [51, 2]          .          .          .          .          .          .          .          .          .          .    [51, 7]
   [52, 1]    [52, 2]          .          .          .          .          .          .          .          .          .          .    [52, 7]
   [53, 1]    [53, 2]          .          .          .          .          .          .          .          .          .          .    [53, 7]
   [54, 1]    [54, 2]          .          .          .          .          .          .          .          .          .          .    [54, 7]
   [55, 1]    [55, 2]          .          .          .          .          .          .          .          .          .          .    [55, 7]
   [56, 1]    [56, 2]          .          .          .          .          .          .          .          .          .          .    [56, 7]
   [57, 1]    [57, 2]          .          .          .          .          .          .          .          .          .          .    [57, 7]
   [58, 1]    [58, 2]          .          .          .          .          .          .          .          .          .          .    [58, 7]
   [59, 1]    [59, 2]          .          .          .          .          .          .          .          .          .          .    [59, 7]
   [60, 1]    [60, 2]          .          .          .          .          .          .          .          .          .          .    [60, 7]
   [61, 1]    [61, 2]          .          .          .          .          .          .          .          .          .          .    [61, 7]
   [62, 1]    [62, 2]          .          .          .          .          .          .          .          .          .          .    [62, 7]
   [63, 1]    [63, 2]          .          .          .          .          .          .          .          .          .          .    [63, 7]
   [64, 1]    [64, 2]          .          .          .          .          .          .          .          .          .          .    [64, 7]
   [65, 1]    [65, 2]          .          .          .          .          .          .          .          .          .          .    [65, 7]
   [66, 1]    [66, 2]          .          .          .          .          .          .          .          .          .          .    [66, 7]
   [67, 1]    [67, 2]          .          .          .          .          .          .          .          .          .          .    [67, 7]
   [68, 1]    [68, 2]          .          .          .          .          .          .          .          .          .          .    [68, 7]
   [69, 1]    [69, 2]          .          .          .          .          .          .          .          .          .          .    [69, 7]
   [70, 1]    [70, 2]          .          .          .          .          .          .          .          .          .          .    [70, 7]
   [71, 1]    [71, 2]          .          .          .          .          .          .          .          .          .          .    [71, 7]
   [72, 1]    [72, 2]          .          .          .          .          .          .          .          .          .          .    [72, 7]
   [73, 1]    [73, 2]          .          .          .          .          .          .          .          .          .          .    [73, 7]
   [74, 1]    [74, 2]          .          .          .          .          .          .          .          .          .          .    [74, 7]
   [75, 1]    [75, 2]          .          .          .          .          .          .          .          .          .          .    [75, 7]
