  LP_start         AL        AS2        BS2        PM3        PM4        PM1        PM2        PM5        PM6        AS1        BS1     LP_end
    [1, 1]     [1, 2]     [3, 3]     [1, 3]     [2, 4]     [1, 4]     [1, 5]     [2, 5]     [8, 5]     [4, 5]     [1, 6]     [3, 6]     [1, 7]
    [2, 1]     [2, 2]     [4, 3]     [2, 3]     [5, 4]     [3, 4]     [6, 5]     [3, 5]    [12, 5]     [9, 5]     [2, 6]     [4, 6]     [2, 7]
    [3, 1]     [3, 2]     [7, 3]     [5, 3]     [7, 4]     [4, 4]     [7, 5]     [5, 5]    [13, 5]    [11, 5]     [6, 6]     [5, 6]     [3, 7]
    [4, 1]     [4, 2]    [10, 3]     [6, 3]     [8, 4]     [6, 4]    [10, 5]    [14, 5]    [16, 5]    [15, 5]     [7, 6]     [9, 6]     [4, 7]
    [5, 1]     [5, 2]    [11, 3]     [8, 3]    [10, 4]     [9, 4]    [22, 5]    [17, 5]    [18, 5]    [19, 5]     [8, 6]    [11, 6]     [5, 7]
    [6, 1]     [6, 2]    [12, 3]     [9, 3]    [11, 4]    [12, 4]    [23, 5]    [21, 5]    [25, 5]    [20, 5]    [10, 6]    [12, 6]     [6, 7]
    [7, 1]     [7, 2]    [14, 3]    [13, 3]    [15, 4]    [13, 4]    [29, 5]    [26, 5]    [27, 5]    [24, 5]    [13, 6]    [15, 6]     [7, 7]
    [8, 1]     [8, 2]    [18, 3]    [15, 3]    [16, 4]    [14, 4]    [30, 5]    [28, 5]    [32, 5]    [33, 5]    [14, 6]    [16, 6]     [8, 7]
    [9, 1]     [9, 2]    [19, 3]    [16, 3]    [17, 4]    [18, 4]    [31, 5]    [34, 5]    [35, 5]    [37, 5]    [17, 6]    [20, 6]     [9, 7]
   [10, 1]    [10, 2]    [22, 3]    [17, 3]    [19, 4]    [21, 4]    [36, 5]    [40, 5]    [38, 5]    [42, 5]    [18, 6]    [21, 6]    [10, 7]
   [11, 1]    [11, 2]    [26, 3]    [20, 3]    [20, 4]    [22, 4]    [39, 5]    [46, 5]    [43, 5]    [44, 5]    [19, 6]    [24, 6]    [11, 7]
   [12, 1]    [12, 2]    [27, 3]    [21, 3]    [23, 4]    [24, 4]    [41, 5]    [50, 5]    [45, 5]    [47, 5]    [22, 6]    [28, 6]    [12, 7]
   [13, 1]    [13, 2]    [31, 3]    [23, 3]    [26, 4]    [25, 4]    [48, 5]    [52, 5]    [53, 5]    [49, 5]    [23, 6]    [30, 6]    [13, 7]
   [14, 1]    [14, 2]    [32, 3]    [24, 3]    [28, 4]    [27, 4]    [54, 5]    [56, 5]    [55, 5]    [51, 5]    [25, 6]    [31, 6]    [14, 7]
   [15, 1]    [15, 2]    [33, 3]    [25, 3]    [29, 4]    [30, 4]    [60, 5]    [61, 5]    [58, 5]    [57, 5]    [26, 6]    [32, 6]    [15, 7]
   [16, 1]    [16, 2]    [34, 3]    [28, 3]    [32, 4]    [31, 4]    [63, 5]    [65, 5]    [64, 5]    [59, 5]    [27, 6]    [33, 6]    [16, 7]
   [17, 1]    [17, 2]    [37, 3]    [29, 3]    [33, 4]    [35, 4]    [72, 5]    [69, 5]    [66, 5]    [62, 5]    [29, 6]    [36, 6]    [17, 7]
   [18, 1]    [18, 2]    [38, 3]    [30, 3]    [34, 4]    [37, 4]    [75, 5]    [71, 5]    [68, 5]    [67, 5]    [34, 6]    [37, 6]    [18, 7]
   [19, 1]    [19, 2]    [41, 3]    [35, 3]    [36, 4]    [38, 4]          .    [74, 5]    [70, 5]    [73, 5]    [35, 6]    [38, 6]    [19, 7]
   [20, 1]    [20, 2]    [43, 3]    [36, 3]    [39, 4]    [42, 4]          .          .          .          .    [40, 6]    [39, 6]    [20, 7]
   [21, 1]    [21, 2]    [44, 3]    [39, 3]    [40, 4]    [44, 4]          .          .          .          .    [42, 6]    [41, 6]    [21, 7]
   [22, 1]    [22, 2]    [46, 3]    [40, 3]    [41, 4]    [46, 4]          .          .          .          .    [43, 6]    [45, 6]    [22, 7]
   [23, 1]    [23, 2]    [50, 3]    [42, 3]    [43, 4]    [49, 4]          .          .          .          .    [44, 6]    [46, 6]    [23, 7]
   [24, 1]    [24, 2]    [58, 3]    [45, 3]    [45, 4]    [51, 4]          .          .          .          .    [47, 6]    [48, 6]    [24, 7]
   [25, 1]    [25, 2]    [61, 3]    [47, 3]    [47, 4]    [52, 4]          .          .          .          .    [50, 6]    [49, 6]    [25, 7]
   [26, 1]    [26, 2]    [64, 3]    [48, 3]    [48, 4]    [55, 4]          .          .          .          .    [53, 6]    [51, 6]    [26, 7]
   [27, 1]    [27, 2]    [65, 3]    [49, 3]    [50, 4]    [57, 4]          .          .          .          .    [55, 6]    [52, 6]    [27, 7]
   [28, 1]    [28, 2]    [66, 3]    [51, 3]    [53, 4]    [58, 4]          .          .          .          .    [57, 6]    [54, 6]    [28, 7]
   [29, 1]    [29, 2]    [67, 3]    [52, 3]    [54, 4]    [60, 4]          .          .          .          .    [58, 6]    [56, 6]    [29, 7]
   [30, 1]    [30, 2]    [70, 3]    [53, 3]    [56, 4]    [62, 4]          .          .          .          .    [61, 6]    [59, 6]    [30, 7]
   [31, 1]    [31, 2]    [71, 3]    [54, 3]    [59, 4]    [63, 4]          .          .          .          .    [62, 6]    [60, 6]    [31, 7]
   [32, 1]    [32, 2]    [72, 3]    [55, 3]    [61, 4]    [67, 4]          .          .          .          .    [64, 6]    [63, 6]    [32, 7]
