  LP_start         AL        AS2        BS2        PM7        PM8        PM9       PM10        LLC        PM3        PM1        LLD        AS1        BS1     LP_end
   [52, 1]    [52, 2]          .          .          .          .          .          .    [52, 6]    [52, 7]    [52, 8]    [52, 9]  ['.', 10]  ['.', 10]   [52, 11]
   [53, 1]    [53, 2]          .          .          .          .          .          .    [53, 6]    [53, 7]    [53, 8]    [53, 9]  ['.', 10]  ['.', 10]   [53, 11]
   [54, 1]    [54, 2]          .          .          .          .          .          .    [54, 6]    [54, 7]    [54, 8]    [54, 9]  ['.', 10]  ['.', 10]   [54, 11]
   [55, 1]    [55, 2]          .          .          .          .          .          .    [55, 6]    [55, 7]    [55, 8]    [55, 9]  ['.', 10]  ['.', 10]   [55, 11]
   [56, 1]    [56, 2]          .          .          .          .          .          .    [56, 6]    [56, 7]    [56, 8]    [56, 9]  ['.', 10]  ['.', 10]   [56, 11]
   [57, 1]    [57, 2]          .          .          .          .          .          .    [57, 6]    [57, 7]    [57, 8]    [57, 9]  ['.', 10]  ['.', 10]   [57, 11]
   [58, 1]    [58, 2]          .          .          .          .          .          .    [58, 6]    [58, 7]    [58, 8]    [58, 9]  ['.', 10]  ['.', 10]   [58, 11]
   [59, 1]    [59, 2]          .          .          .          .          .          .    [59, 6]    [59, 7]    [59, 8]    [59, 9]  ['.', 10]  ['.', 10]   [59, 11]
   [60, 1]    [60, 2]          .          .          .          .          .          .    [60, 6]    [60, 7]    [60, 8]    [60, 9]  ['.', 10]  ['.', 10]   [60, 11]
   [61, 1]    [61, 2]          .          .          .          .          .          .    [61, 6]    [61, 7]    [61, 8]    [61, 9]  ['.', 10]  ['.', 10]   [61, 11]
   [62, 1]    [62, 2]          .          .          .          .          .          .    [62, 6]    [62, 7]    [62, 8]    [62, 9]  ['.', 10]  ['.', 10]   [62, 11]
   [63, 1]    [63, 2]          .          .          .          .          .          .    [63, 6]    [63, 7]    [63, 8]    [63, 9]  ['.', 10]  ['.', 10]   [63, 11]
   [64, 1]    [64, 2]          .          .          .          .          .          .    [64, 6]    [64, 7]    [64, 8]    [64, 9]  ['.', 10]  ['.', 10]   [64, 11]
   [65, 1]    [65, 2]          .          .          .          .          .          .    [65, 6]    [65, 7]    [65, 8]    [65, 9]  ['.', 10]  ['.', 10]   [65, 11]
   [66, 1]    [66, 2]          .          .          .          .          .          .    [66, 6]    [66, 7]    [66, 8]    [66, 9]  ['.', 10]  ['.', 10]   [66, 11]
   [67, 1]    [67, 2]          .          .          .          .          .          .    [67, 6]    [67, 7]    [67, 8]    [67, 9]  ['.', 10]  ['.', 10]   [67, 11]
   [68, 1]    [68, 2]          .          .          .          .          .          .    [68, 6]    [68, 7]    [68, 8]    [68, 9]  ['.', 10]  ['.', 10]   [68, 11]
   [69, 1]    [69, 2]          .          .          .          .          .          .    [69, 6]    [69, 7]    [69, 8]    [69, 9]  ['.', 10]  ['.', 10]   [69, 11]
   [70, 1]    [70, 2]          .          .          .          .          .          .    [70, 6]    [70, 7]    [70, 8]    [70, 9]  ['.', 10]  ['.', 10]   [70, 11]
   [71, 1]    [71, 2]          .          .          .          .          .          .    [71, 6]    [71, 7]    [71, 8]    [71, 9]  ['.', 10]  ['.', 10]   [71, 11]
   [72, 1]    [72, 2]          .          .          .          .          .          .    [72, 6]    [72, 7]    [72, 8]    [72, 9]  ['.', 10]  ['.', 10]   [72, 11]
   [73, 1]    [73, 2]          .          .          .          .          .          .    [73, 6]    [73, 7]    [73, 8]    [73, 9]  ['.', 10]  ['.', 10]   [73, 11]
   [74, 1]    [74, 2]          .          .          .          .          .          .    [74, 6]    [74, 7]    [74, 8]    [74, 9]  ['.', 10]  ['.', 10]   [74, 11]
   [75, 1]    [75, 2]          .          .          .          .          .          .    [75, 6]    [75, 7]    [75, 8]    [75, 9]  ['.', 10]  ['.', 10]   [75, 11]
