  LP_start         AL        AS2        BS2        PM7        PM8        PM9       PM10        LLC        PM3        PM1        LLD        AS1        BS1     LP_end
    [1, 1]     [1, 2]     [5, 3]     [1, 3]     [1, 4]     [7, 4]     [1, 5]     [3, 5]     [1, 6]     [1, 7]     [1, 8]     [1, 9]    [3, 10]    [1, 10]    [1, 11]
    [2, 1]     [2, 2]     [6, 3]     [2, 3]     [2, 4]    [11, 4]     [2, 5]     [5, 5]     [2, 6]     [2, 7]     [2, 8]     [2, 9]    [4, 10]    [2, 10]    [2, 11]
    [3, 1]     [3, 2]     [8, 3]     [3, 3]     [3, 4]    [12, 4]     [4, 5]     [7, 5]     [3, 6]     [3, 7]     [3, 8]     [3, 9]    [5, 10]    [6, 10]    [3, 11]
    [4, 1]     [4, 2]     [9, 3]     [4, 3]     [4, 4]    [13, 4]     [6, 5]    [10, 5]     [4, 6]     [4, 7]     [4, 8]     [4, 9]    [8, 10]    [7, 10]    [4, 11]
    [5, 1]     [5, 2]    [10, 3]     [7, 3]     [5, 4]    [14, 4]     [8, 5]    [13, 5]     [5, 6]     [5, 7]     [5, 8]     [5, 9]   [10, 10]    [9, 10]    [5, 11]
    [6, 1]     [6, 2]    [13, 3]    [11, 3]     [6, 4]    [16, 4]     [9, 5]    [15, 5]     [6, 6]     [6, 7]     [6, 8]     [6, 9]   [13, 10]   [11, 10]    [6, 11]
    [7, 1]     [7, 2]    [14, 3]    [12, 3]     [8, 4]    [18, 4]    [11, 5]    [16, 5]     [7, 6]     [7, 7]     [7, 8]     [7, 9]   [14, 10]   [12, 10]    [7, 11]
    [8, 1]     [8, 2]    [17, 3]    [15, 3]     [9, 4]    [25, 4]    [12, 5]    [24, 5]     [8, 6]     [8, 7]     [8, 8]     [8, 9]   [16, 10]   [15, 10]    [8, 11]
    [9, 1]     [9, 2]    [18, 3]    [16, 3]    [10, 4]    [27, 4]    [14, 5]    [26, 5]     [9, 6]     [9, 7]     [9, 8]     [9, 9]   [17, 10]   [23, 10]    [9, 11]
   [10, 1]    [10, 2]    [20, 3]    [19, 3]    [15, 4]    [32, 4]    [17, 5]    [27, 5]    [10, 6]    [10, 7]    [10, 8]    [10, 9]   [18, 10]   [28, 10]   [10, 11]
   [11, 1]    [11, 2]    [21, 3]    [23, 3]    [17, 4]    [35, 4]    [18, 5]    [28, 5]    [11, 6]    [11, 7]    [11, 8]    [11, 9]   [19, 10]   [29, 10]   [11, 11]
   [12, 1]    [12, 2]    [22, 3]    [24, 3]    [19, 4]    [36, 4]    [19, 5]    [35, 5]    [12, 6]    [12, 7]    [12, 8]    [12, 9]   [20, 10]   [30, 10]   [12, 11]
   [13, 1]    [13, 2]    [25, 3]    [26, 3]    [20, 4]    [37, 4]    [20, 5]    [37, 5]    [13, 6]    [13, 7]    [13, 8]    [13, 9]   [21, 10]   [31, 10]   [13, 11]
   [14, 1]    [14, 2]    [27, 3]    [28, 3]    [21, 4]    [38, 4]    [21, 5]    [39, 5]    [14, 6]    [14, 7]    [14, 8]    [14, 9]   [22, 10]   [32, 10]   [14, 11]
   [15, 1]    [15, 2]    [29, 3]    [30, 3]    [22, 4]    [39, 4]    [22, 5]    [40, 5]    [15, 6]    [15, 7]    [15, 8]    [15, 9]   [24, 10]   [33, 10]   [15, 11]
   [16, 1]    [16, 2]    [33, 3]    [31, 3]    [23, 4]    [40, 4]    [23, 5]    [41, 5]    [16, 6]    [16, 7]    [16, 8]    [16, 9]   [25, 10]   [34, 10]   [16, 11]
   [17, 1]    [17, 2]    [35, 3]    [32, 3]    [24, 4]    [41, 4]    [25, 5]    [42, 5]    [17, 6]    [17, 7]    [17, 8]    [17, 9]   [26, 10]   [35, 10]   [17, 11]
   [18, 1]    [18, 2]    [38, 3]    [34, 3]    [26, 4]    [44, 4]    [29, 5]    [46, 5]    [18, 6]    [18, 7]    [18, 8]    [18, 9]   [27, 10]   [37, 10]   [18, 11]
   [19, 1]    [19, 2]    [39, 3]    [36, 3]    [28, 4]    [47, 4]    [30, 5]    [47, 5]    [19, 6]    [19, 7]    [19, 8]    [19, 9]   [36, 10]   [39, 10]   [19, 11]
   [20, 1]    [20, 2]    [40, 3]    [37, 3]    [29, 4]    [48, 4]    [31, 5]    [48, 5]    [20, 6]    [20, 7]    [20, 8]    [20, 9]   [38, 10]   [40, 10]   [20, 11]
   [21, 1]    [21, 2]    [42, 3]    [41, 3]    [30, 4]    [49, 4]    [32, 5]    [50, 5]    [21, 6]    [21, 7]    [21, 8]    [21, 9]   [44, 10]   [41, 10]   [21, 11]
   [22, 1]    [22, 2]    [45, 3]    [43, 3]    [31, 4]    [50, 4]    [33, 5]    [51, 5]    [22, 6]    [22, 7]    [22, 8]    [22, 9]   [45, 10]   [42, 10]   [22, 11]
   [23, 1]    [23, 2]    [50, 3]    [44, 3]    [33, 4]    [51, 4]    [34, 5]    [52, 5]    [23, 6]    [23, 7]    [23, 8]    [23, 9]   [47, 10]   [43, 10]   [23, 11]
   [24, 1]    [24, 2]    [55, 3]    [46, 3]    [34, 4]    [52, 4]    [36, 5]    [53, 5]    [24, 6]    [24, 7]    [24, 8]    [24, 9]   [48, 10]   [46, 10]   [24, 11]
   [25, 1]    [25, 2]    [57, 3]    [47, 3]    [42, 4]    [55, 4]    [38, 5]    [54, 5]    [25, 6]    [25, 7]    [25, 8]    [25, 9]   [49, 10]   [51, 10]   [25, 11]
   [26, 1]    [26, 2]    [58, 3]    [48, 3]    [43, 4]    [56, 4]    [43, 5]    [57, 5]    [26, 6]    [26, 7]    [26, 8]    [26, 9]   [50, 10]   [52, 10]   [26, 11]
   [27, 1]    [27, 2]    [59, 3]    [49, 3]    [45, 4]    [57, 4]    [44, 5]    [58, 5]    [27, 6]    [27, 7]    [27, 8]    [27, 9]   [54, 10]   [53, 10]   [27, 11]
   [28, 1]    [28, 2]    [60, 3]    [51, 3]    [46, 4]    [59, 4]    [45, 5]    [61, 5]    [28, 6]    [28, 7]    [28, 8]    [28, 9]   [55, 10]   [56, 10]   [28, 11]
   [29, 1]    [29, 2]    [61, 3]    [52, 3]    [53, 4]    [61, 4]    [49, 5]    [62, 5]    [29, 6]    [29, 7]    [29, 8]    [29, 9]   [57, 10]   [59, 10]   [29, 11]
   [30, 1]    [30, 2]    [62, 3]    [53, 3]    [54, 4]    [62, 4]    [55, 5]    [63, 5]    [30, 6]    [30, 7]    [30, 8]    [30, 9]   [58, 10]   [60, 10]   [30, 11]
   [31, 1]    [31, 2]    [63, 3]    [54, 3]    [58, 4]    [63, 4]    [56, 5]    [65, 5]    [31, 6]    [31, 7]    [31, 8]    [31, 9]   [61, 10]   [63, 10]   [31, 11]
   [32, 1]    [32, 2]    [64, 3]    [56, 3]    [60, 4]    [64, 4]    [59, 5]    [67, 5]    [32, 6]    [32, 7]    [32, 8]    [32, 9]   [62, 10]   [65, 10]   [32, 11]
   [33, 1]    [33, 2]    [65, 3]    [66, 3]    [65, 4]    [69, 4]    [60, 5]    [69, 5]    [33, 6]    [33, 7]    [33, 8]    [33, 9]   [64, 10]   [66, 10]   [33, 11]
   [34, 1]    [34, 2]    [67, 3]    [69, 3]    [66, 4]    [70, 4]    [64, 5]    [71, 5]    [34, 6]    [34, 7]    [34, 8]    [34, 9]   [67, 10]   [69, 10]   [34, 11]
   [35, 1]    [35, 2]    [68, 3]    [73, 3]    [67, 4]    [71, 4]    [66, 5]    [72, 5]    [35, 6]    [35, 7]    [35, 8]    [35, 9]   [68, 10]   [71, 10]   [35, 11]
   [36, 1]    [36, 2]    [70, 3]    [74, 3]    [68, 4]    [72, 4]    [68, 5]    [73, 5]    [36, 6]    [36, 7]    [36, 8]    [36, 9]   [70, 10]   [73, 10]   [36, 11]
   [37, 1]    [37, 2]    [71, 3]          .    [73, 4]    [74, 4]    [70, 5]          .    [37, 6]    [37, 7]    [37, 8]    [37, 9]   [72, 10]   [74, 10]   [37, 11]
   [38, 1]    [38, 2]    [72, 3]          .          .    [75, 4]    [74, 5]          .    [38, 6]    [38, 7]    [38, 8]    [38, 9]  ['.', 10]   [75, 10]   [38, 11]
   [39, 1]    [39, 2]    [75, 3]          .          .          .    [75, 5]          .    [39, 6]    [39, 7]    [39, 8]    [39, 9]  ['.', 10]  ['.', 10]   [39, 11]
   [40, 1]    [40, 2]          .          .          .          .          .          .    [40, 6]    [40, 7]    [40, 8]    [40, 9]  ['.', 10]  ['.', 10]   [40, 11]
   [41, 1]    [41, 2]          .          .          .          .          .          .    [41, 6]    [41, 7]    [41, 8]    [41, 9]  ['.', 10]  ['.', 10]   [41, 11]
   [42, 1]    [42, 2]          .          .          .          .          .          .    [42, 6]    [42, 7]    [42, 8]    [42, 9]  ['.', 10]  ['.', 10]   [42, 11]
   [43, 1]    [43, 2]          .          .          .          .          .          .    [43, 6]    [43, 7]    [43, 8]    [43, 9]  ['.', 10]  ['.', 10]   [43, 11]
   [44, 1]    [44, 2]          .          .          .          .          .          .    [44, 6]    [44, 7]    [44, 8]    [44, 9]  ['.', 10]  ['.', 10]   [44, 11]
   [45, 1]    [45, 2]          .          .          .          .          .          .    [45, 6]    [45, 7]    [45, 8]    [45, 9]  ['.', 10]  ['.', 10]   [45, 11]
   [46, 1]    [46, 2]          .          .          .          .          .          .    [46, 6]    [46, 7]    [46, 8]    [46, 9]  ['.', 10]  ['.', 10]   [46, 11]
   [47, 1]    [47, 2]          .          .          .          .          .          .    [47, 6]    [47, 7]    [47, 8]    [47, 9]  ['.', 10]  ['.', 10]   [47, 11]
   [48, 1]    [48, 2]          .          .          .          .          .          .    [48, 6]    [48, 7]    [48, 8]    [48, 9]  ['.', 10]  ['.', 10]   [48, 11]
   [49, 1]    [49, 2]          .          .          .          .          .          .    [49, 6]    [49, 7]    [49, 8]    [49, 9]  ['.', 10]  ['.', 10]   [49, 11]
   [50, 1]    [50, 2]          .          .          .          .          .          .    [50, 6]    [50, 7]    [50, 8]    [50, 9]  ['.', 10]  ['.', 10]   [50, 11]
   [51, 1]    [51, 2]          .          .          .          .          .          .    [51, 6]    [51, 7]    [51, 8]    [51, 9]  ['.', 10]  ['.', 10]   [51, 11]
