  LP_start         AL        AS2        BS2        PM7        PM8        LLC        PM2        PM4        PM5        LLD       PM10        AS1        BS1     LP_end
    [1, 1]     [1, 2]     [4, 3]     [1, 3]     [1, 4]     [3, 4]     [1, 5]     [1, 6]     [2, 7]     [1, 7]     [1, 8]     [1, 9]    [1, 10]    [3, 10]    [1, 11]
    [2, 1]     [2, 2]     [5, 3]     [2, 3]     [2, 4]     [8, 4]     [2, 5]     [2, 6]     [4, 7]     [3, 7]     [2, 8]     [2, 9]    [2, 10]    [5, 10]    [2, 11]
    [3, 1]     [3, 2]     [6, 3]     [3, 3]     [4, 4]    [11, 4]     [3, 5]     [3, 6]     [6, 7]     [5, 7]     [3, 8]     [3, 9]    [4, 10]    [9, 10]    [3, 11]
    [4, 1]     [4, 2]     [8, 3]     [7, 3]     [5, 4]    [12, 4]     [4, 5]     [4, 6]     [8, 7]     [7, 7]     [4, 8]     [4, 9]    [6, 10]   [11, 10]    [4, 11]
    [5, 1]     [5, 2]    [10, 3]     [9, 3]     [6, 4]    [14, 4]     [5, 5]     [5, 6]    [10, 7]     [9, 7]     [5, 8]     [5, 9]    [7, 10]   [12, 10]    [5, 11]
    [6, 1]     [6, 2]    [11, 3]    [12, 3]     [7, 4]    [15, 4]     [6, 5]     [6, 6]    [12, 7]    [11, 7]     [6, 8]     [6, 9]    [8, 10]   [14, 10]    [6, 11]
    [7, 1]     [7, 2]    [14, 3]    [13, 3]     [9, 4]    [17, 4]     [7, 5]     [7, 6]    [14, 7]    [13, 7]     [7, 8]     [7, 9]   [10, 10]   [15, 10]    [7, 11]
    [8, 1]     [8, 2]    [15, 3]    [16, 3]    [10, 4]    [20, 4]     [8, 5]     [8, 6]    [16, 7]    [15, 7]     [8, 8]     [8, 9]   [13, 10]   [16, 10]    [8, 11]
    [9, 1]     [9, 2]    [17, 3]    [18, 3]    [13, 4]    [21, 4]     [9, 5]     [9, 6]    [18, 7]    [17, 7]     [9, 8]     [9, 9]   [18, 10]   [17, 10]    [9, 11]
   [10, 1]    [10, 2]    [19, 3]    [20, 3]    [16, 4]    [24, 4]    [10, 5]    [10, 6]    [20, 7]    [19, 7]    [10, 8]    [10, 9]   [20, 10]   [19, 10]   [10, 11]
   [11, 1]    [11, 2]    [21, 3]    [22, 3]    [18, 4]    [29, 4]    [11, 5]    [11, 6]    [22, 7]    [21, 7]    [11, 8]    [11, 9]   [24, 10]   [21, 10]   [11, 11]
   [12, 1]    [12, 2]    [23, 3]    [24, 3]    [19, 4]    [30, 4]    [12, 5]    [12, 6]    [24, 7]    [23, 7]    [12, 8]    [12, 9]   [25, 10]   [22, 10]   [12, 11]
   [13, 1]    [13, 2]    [29, 3]    [25, 3]    [22, 4]    [32, 4]    [13, 5]    [13, 6]    [26, 7]    [25, 7]    [13, 8]    [13, 9]   [26, 10]   [23, 10]   [13, 11]
   [14, 1]    [14, 2]    [30, 3]    [26, 3]    [23, 4]    [33, 4]    [14, 5]    [14, 6]    [28, 7]    [27, 7]    [14, 8]    [14, 9]   [27, 10]   [29, 10]   [14, 11]
   [15, 1]    [15, 2]    [32, 3]    [27, 3]    [25, 4]    [34, 4]    [15, 5]    [15, 6]    [30, 7]    [29, 7]    [15, 8]    [15, 9]   [28, 10]   [30, 10]   [15, 11]
   [16, 1]    [16, 2]    [34, 3]    [28, 3]    [26, 4]    [38, 4]    [16, 5]    [16, 6]    [32, 7]    [31, 7]    [16, 8]    [16, 9]   [32, 10]   [31, 10]   [16, 11]
   [17, 1]    [17, 2]    [36, 3]    [31, 3]    [27, 4]    [40, 4]    [17, 5]    [17, 6]    [34, 7]    [33, 7]    [17, 8]    [17, 9]   [35, 10]   [33, 10]   [17, 11]
   [18, 1]    [18, 2]    [38, 3]    [33, 3]    [28, 4]    [43, 4]    [18, 5]    [18, 6]    [36, 7]    [35, 7]    [18, 8]    [18, 9]   [36, 10]   [34, 10]   [18, 11]
   [19, 1]    [19, 2]    [40, 3]    [35, 3]    [31, 4]    [44, 4]    [19, 5]    [19, 6]    [38, 7]    [37, 7]    [19, 8]    [19, 9]   [37, 10]   [38, 10]   [19, 11]
   [20, 1]    [20, 2]    [41, 3]    [37, 3]    [35, 4]    [45, 4]    [20, 5]    [20, 6]    [40, 7]    [39, 7]    [20, 8]    [20, 9]   [39, 10]   [47, 10]   [20, 11]
   [21, 1]    [21, 2]    [43, 3]    [39, 3]    [36, 4]    [48, 4]    [21, 5]    [21, 6]    [42, 7]    [41, 7]    [21, 8]    [21, 9]   [40, 10]   [48, 10]   [21, 11]
   [22, 1]    [22, 2]    [45, 3]    [42, 3]    [37, 4]    [49, 4]    [22, 5]    [22, 6]    [44, 7]    [43, 7]    [22, 8]    [22, 9]   [41, 10]   [49, 10]   [22, 11]
   [23, 1]    [23, 2]    [46, 3]    [44, 3]    [39, 4]    [51, 4]    [23, 5]    [23, 6]    [46, 7]    [45, 7]    [23, 8]    [23, 9]   [42, 10]   [50, 10]   [23, 11]
   [24, 1]    [24, 2]    [50, 3]    [47, 3]    [41, 4]    [52, 4]    [24, 5]    [24, 6]    [48, 7]    [47, 7]    [24, 8]    [24, 9]   [43, 10]   [51, 10]   [24, 11]
   [25, 1]    [25, 2]    [51, 3]    [48, 3]    [42, 4]    [54, 4]    [25, 5]    [25, 6]    [50, 7]    [49, 7]    [25, 8]    [25, 9]   [44, 10]   [55, 10]   [25, 11]
   [26, 1]    [26, 2]    [53, 3]    [49, 3]    [46, 4]    [57, 4]    [26, 5]    [26, 6]    [52, 7]    [51, 7]    [26, 8]    [26, 9]   [45, 10]   [56, 10]   [26, 11]
   [27, 1]    [27, 2]    [58, 3]    [52, 3]    [47, 4]    [60, 4]    [27, 5]    [27, 6]    [54, 7]    [53, 7]    [27, 8]    [27, 9]   [46, 10]   [57, 10]   [27, 11]
   [28, 1]    [28, 2]    [60, 3]    [54, 3]    [50, 4]    [61, 4]    [28, 5]    [28, 6]    [56, 7]    [55, 7]    [28, 8]    [28, 9]   [52, 10]   [59, 10]   [28, 11]
   [29, 1]    [29, 2]    [62, 3]    [55, 3]    [53, 4]    [62, 4]    [29, 5]    [29, 6]    [58, 7]    [57, 7]    [29, 8]    [29, 9]   [53, 10]   [60, 10]   [29, 11]
   [30, 1]    [30, 2]    [66, 3]    [56, 3]    [55, 4]    [63, 4]    [30, 5]    [30, 6]    [60, 7]    [59, 7]    [30, 8]    [30, 9]   [54, 10]   [61, 10]   [30, 11]
   [31, 1]    [31, 2]    [67, 3]    [57, 3]    [56, 4]    [65, 4]    [31, 5]    [31, 6]    [62, 7]    [61, 7]    [31, 8]    [31, 9]   [58, 10]   [63, 10]   [31, 11]
   [32, 1]    [32, 2]    [68, 3]    [59, 3]    [58, 4]    [68, 4]    [32, 5]    [32, 6]    [64, 7]    [63, 7]    [32, 8]    [32, 9]   [62, 10]   [64, 10]   [32, 11]
   [33, 1]    [33, 2]    [70, 3]    [61, 3]    [59, 4]    [69, 4]    [33, 5]    [33, 6]    [66, 7]    [65, 7]    [33, 8]    [33, 9]   [66, 10]   [65, 10]   [33, 11]
   [34, 1]    [34, 2]    [71, 3]    [63, 3]    [64, 4]    [71, 4]    [34, 5]    [34, 6]    [68, 7]    [67, 7]    [34, 8]    [34, 9]   [69, 10]   [67, 10]   [34, 11]
   [35, 1]    [35, 2]    [72, 3]    [64, 3]    [66, 4]    [72, 4]    [35, 5]    [35, 6]    [70, 7]    [69, 7]    [35, 8]    [35, 9]   [70, 10]   [68, 10]   [35, 11]
   [36, 1]    [36, 2]    [73, 3]    [65, 3]    [67, 4]    [73, 4]    [36, 5]    [36, 6]    [72, 7]    [71, 7]    [36, 8]    [36, 9]   [71, 10]   [72, 10]   [36, 11]
   [37, 1]    [37, 2]    [74, 3]    [69, 3]    [70, 4]    [75, 4]    [37, 5]    [37, 6]    [74, 7]    [73, 7]    [37, 8]    [37, 9]   [73, 10]   [74, 10]   [37, 11]
   [38, 1]    [38, 2]    [75, 3]          .    [74, 4]          .    [38, 5]    [38, 6]          .    [75, 7]    [38, 8]    [38, 9]          .   [75, 10]   [38, 11]
   [39, 1]    [39, 2]          .          .          .          .    [39, 5]    [39, 6]          .          .    [39, 8]    [39, 9]          .          .   [39, 11]
   [40, 1]    [40, 2]          .          .          .          .    [40, 5]    [40, 6]          .          .    [40, 8]    [40, 9]          .          .   [40, 11]
   [41, 1]    [41, 2]          .          .          .          .    [41, 5]    [41, 6]          .          .    [41, 8]    [41, 9]          .          .   [41, 11]
   [42, 1]    [42, 2]          .          .          .          .    [42, 5]    [42, 6]          .          .    [42, 8]    [42, 9]          .          .   [42, 11]
